date_found,category,level,city,organization,department,job_title,requirements,posted_date,deadline,application_route,source_url,source_type,evidence,suitability_reason,risks,key_hash,status
2026-06-16,今日新发现,A,山东济宁,山东省寄生虫病防治研究所,科研岗,科研岗,博士研究生；专业含生物学、基础医学、公共卫生与预防医学；招聘2人；工作地点济宁。,2026-06-04,2026-06-25 17:00,邮件报名 sdjfszzrsk@163.com；材料压缩包；高校人才网职位页/公告页提示可投递。,https://www.gaoxiaojob.com/announcement/detail/406074.html,trusted_platform_gaoxiaojob_with_official_source,高校人才网公告406074显示山东省寄生虫病防治研究所2026年公开招聘2名博士研究生工作人员；移动页可见2026-06-04发布、博士研究生、电子邮件报名、截止2026-06-25；正文列明官方发布渠道为山东第一医科大学人事部网站和山东省寄生虫病防治研究所官网。,省属寄生虫病防治科研机构，岗位专业含生物学、基础医学、公卫，和曹博士病原生物学、病毒学、P3、分子检测背景高度贴合。,岗位表附件需验证码下载，已用高校人才网职位摘要和公告正文确认核心字段；需进一步确认科研岗是否直接接受100103病原生物学、是否要求已取得博士证。,c955c953a8,candidate
2026-06-16,今日新发现,A,上海,上海交通大学医学院附属瑞金医院,感染科,科研人员,博士学位；病原微生物（病毒、细菌）及宿主天然免疫机制研究方向；有博士后经历或独立课题经验优先。,2026-06-11,2026-06-18,瑞金医院招聘系统/高校人才网公告详情；岗位搜索结果显示招1人。,https://www.gaoxiaojob.com/announcement/detail/407297.html,trusted_platform_gaoxiaojob_with_mirror_verification,高校人才网公告407297题名为上海交通大学医学院附属瑞金医院2026年6月招聘1名科研人员；搜索镜像显示感染科科研人员，要求病原微生物及宿主天然免疫机制研究方向、博士学位，报名窗口2026-06-05至2026-06-18。,感染科、病原微生物、天然免疫与曹博士病毒学/猴痘抗病毒药筛/P3经历直接相关，是本轮最贴近主线的医院科研岗。,同单位历史已有课题组长PI记录，但本条为感染科科研人员，单位相同、部门岗位不同；高校人才网详情页命令行访问不稳定，需投前打开医院招聘系统确认仍可报。,10b9ae8925,candidate
2026-06-16,今日新发现,B,河南郑州,河南省医学科学院生物治疗研究所,生物治疗研究所,科研岗1（生物创新药物研发）,博士研究生；药学、生物化学与分子生物学、生物医学工程等相关专业；事业编制口径；工作地点郑州。,2026-06-09,2026-12-31；招满即止,高校人才网职位详情/河南省医学科学院官网公告；每人只能选报一个岗位。,https://www.gaoxiaojob.com/job/detail/2210126.html,trusted_platform_gaoxiaojob_with_official_source,高校人才网职位详情显示科研岗1（生物创新药物研发），职位截止2026-12-31；河南省医学科学院官网2026博士公告显示报名自2026-06-13至2026-12-31，招满即止。,曹博士抗病毒药物筛选与评价经历可迁移到生物创新药物研发，分子生物学与药筛训练匹配。,不是病原/病毒直岗；高校人才网单位列表有下线提示但岗位详情和官网公告仍可检索，投前需用官网最新岗位表复核。,d70b6af9a0,candidate
2026-06-16,今日新发现,B,河南郑州,河南省医学科学院生物治疗研究所,生物治疗研究所,科研岗2（细胞与基因治疗研发）,博士研究生；免疫学、基础医学等相关专业；事业编制口径；工作地点郑州。,2026-06-09,2026-12-31；招满即止,高校人才网职位详情/河南省医学科学院官网公告；每人只能选报一个岗位。,https://www.gaoxiaojob.com/job/detail/2210127.html,trusted_platform_gaoxiaojob_with_official_source,高校人才网职位详情/搜索结果显示科研岗2（细胞与基因治疗研发），专业包含免疫学、基础医学；官网公告同批次有效期至2026-12-31。,免疫学和基础医学口径可承接曹博士感染免疫、病毒学和基础医学背景，可作为转化医学备选。,细胞与基因治疗不是曹博士最强主线；同公告多岗位互斥，只能作为河南省医学科学院内部备选之一。,4bd57d5de3,candidate
2026-06-16,今日新发现,B,河南郑州,河南省医学科学院生物治疗研究所,生物治疗研究所,科研岗3（疾病机理与转化研究）,博士研究生；病理学与病理生理学、药理学、生物化学与分子生物学、细胞生物学、生物与医药等相关专业；事业编制口径；工作地点郑州。,2026-06-09,2026-12-31；招满即止,高校人才网职位详情/河南省医学科学院官网公告；每人只能选报一个岗位。,https://www.gaoxiaojob.com/job/detail/2210128.html,trusted_platform_gaoxiaojob_with_official_source,高校人才网职位详情/搜索结果显示科研岗3（疾病机理与转化研究），专业含病理学与病理生理学、药理学、生物化学与分子生物学、细胞生物学、生物与医药；官网公告同批次有效期至2026-12-31。,曹博士猴痘病毒致病机制、动物实验、抗病毒药物评价和论文能力可包装为疾病机理与转化研究能力。,专业目录未直接列病原生物学，需确认100103能否按基础医学/分子生物学相近专业受理；与科研岗1/2互斥。,70e01ea3ba,candidate
2026-06-16,今日新发现,B,河北石家庄,医药加科研培训中心于海涛团队,医院编制科研团队,骨干技术人员,博士研究生；免疫学、细胞生物学、分子生物学、遗传学等相关专业。,2026-05-14,平台显示已下线,高校人才网职位页已显示已下线，暂不投递。,https://www.gaoxiaojob.com/job/detail/2122206.html,trusted_platform_gaoxiaojob,高校人才网职位搜索结果显示骨干技术人员，博士研究生，石家庄，但页面状态为已下线。,方向与分子/免疫技术有一定相关。,平台已下线，当前不可作为可投岗位。,57ad6579ca,excluded
2026-06-16,今日新发现,B,湖南衡阳,南华大学,基础医学院、药学院、公共卫生学院、护理学院,A2/A5 专任教师,博士研究生；专业含0710生物学、10医学等。,2026-03-30,2026-12-31；随到随招,历史已计入，不重复投递。,https://www.gaoxiaojob.com/announcement/detail/406735.html,trusted_platform_gaoxiaojob,高校人才网6月仍可检索南华大学，但14索引已有南华大学A2/A5专任教师。,方向适配但非新增。,命中历史计入/强推荐记录，排除重复。,af70452c53,excluded
2026-06-16,今日新发现,A,河南郑州,河南省医学科学院感染与免疫研究所,感染与免疫研究所,科研岗1,博士研究生；专业技术岗中级；招聘10人；专业包括但不限于微生物学、病原生物学、免疫学、生物化学与分子生物学、药理学、生物信息学等；原则上年龄不超过38周岁。,2026-06-09,2026-12-31；招满即止,高校人才网职位详情/河南省医学科学院官网公告；下载报名表后发送至感染与免疫研究所邮箱 liuhai_1029@qq.com；同公告每人只能选报一个岗位。,https://www.gaoxiaojob.com/job/detail/2210125.html,trusted_platform_gaoxiaojob_with_official_attachment,高校人才网职位2210125显示科研岗1-感染与免疫研究所，郑州，博士研究生10人，2026-06-09发布，电子邮件报名，截止2026-12-31；河南省医学科学院官网2026博士公告和岗位需求表第39号列明病原生物学(100103)、免疫学(100102)、微生物学(071005)等专业。,岗位直接列病原生物学、微生物学、免疫学，单位研究方向为感染与免疫，和曹博士病原生物学、病毒学、P3、抗病毒药筛与病原检测背景高度匹配。,河南省医学科学院同批次岗位互斥；需要投前确认应届博士未取证材料、当前空缺和是否按100103病原生物学直接受理。,82600cbb02,candidate
2026-06-16,今日新发现,B,河南郑州,河南省医学科学院智能医学研究所,智能医学研究所,科研岗2(AI+类器官芯片平台),博士研究生；专业技术岗中级；招聘3人；专业含生物医学工程、基础医学、遗传学、免疫学、生物化学与分子生物学、药学、肿瘤学、细胞生物学、微生物与生化药学、生物学、药理学；要求第一作者SCI论文不少于1篇。,2026-06-09,2026-12-31；招满即止,高校人才网职位详情/河南省医学科学院官网公告；下载报名表后发送至相应邮箱 jguo@xellarbio.com；同公告每人只能选报一个岗位。,https://www.gaoxiaojob.com/job/detail/2210111.html,trusted_platform_gaoxiaojob_with_official_attachment,高校人才网职位2210111显示科研岗2(AI+类器官芯片平台)-智能医学研究所，郑州，博士研究生3人，2026-06-09发布，电子邮件报名，截止2026-12-31；河南省医学科学院官网岗位表第25号列明基础医学、免疫学、生物化学与分子生物学、细胞生物学、微生物与生化药学等专业及SCI论文要求。,岗位可承接曹博士基础医学、病毒/免疫、细胞与动物实验、药物评价和高水平论文能力，适合作为河南省医学科学院同批次的转化医学备选。,不是病原/病毒直岗，且AI+类器官芯片平台偏器官芯片和药物发现；与感染与免疫研究所同公告互斥，优先级低于科研岗1-感染与免疫研究所。,00d5cf8650,candidate
2026-06-16,今日新发现,A,广东梅州,嘉应学院,医学院,岗位4 专任教师,博士；专业含微生物学、免疫学、病原生物学等。,2026-05,长期至2026-11-30；滚动招聘，招满为止,既有51确认包保留，不重复新增。,https://www.gaoxiaojob.com/announcement/detail/399163.html,trusted_platform_gaoxiaojob,命中14索引AB最新汇总和51高优先台账：嘉应学院医学院岗位4专任教师 key_hash b2415fa068。,专业直接含病原生物学，但已在既有A档推进。,重复，不计入本轮新增AB。,ef72abffd1,excluded
